gender,race_ethn,year,age,m_i.med,m_i.lwr,m_i.upr
Female,api,2021,15,6e-8,2e-8,1.3e-7
Female,api,2021,20,1.5e-7,8e-8,2.8e-7
Female,api,2021,25,2.4e-7,1.3e-7,4.3e-7
Female,api,2021,30,2.6e-7,1.4e-7,4.2e-7
Female,api,2021,35,2.2e-7,1.2e-7,3.6e-7
Female,api,2021,40,2.6e-7,1.5e-7,4.3e-7
Female,api,2021,45,1.9e-7,1e-7,3.3e-7
Female,api,2021,50,2.5e-7,1.4e-7,4.3e-7
Female,api,2021,55,1.3e-7,6e-8,2.4e-7
Female,api,2021,60,1e-7,4e-8,2e-7
Female,api,2021,65,7e-8,2e-8,1.5e-7
Female,api,2021,70,4e-8,1e-8,9e-8
Female,api,2021,75,8e-8,3e-8,1.8e-7
Female,api,2021,80,9e-8,3e-8,2.1e-7
Female,api,2022,0,3e-8,0,1.2e-7
Female,api,2022,1,2e-8,0,7e-8
Female,api,2022,5,4e-8,1e-8,1e-7
Female,api,2022,10,3e-8,0,8e-8
Female,api,2022,15,6e-8,2e-8,1.4e-7
Female,api,2022,20,1.6e-7,8e-8,3e-7
Female,api,2022,25,2.5e-7,1.4e-7,4.6e-7
Female,api,2022,30,2.8e-7,1.6e-7,4.5e-7
Female,api,2022,35,2.3e-7,1.3e-7,3.8e-7
Female,api,2022,40,2.8e-7,1.6e-7,4.6e-7
Female,api,2022,45,2.1e-7,1.1e-7,3.6e-7
Female,api,2022,50,2.6e-7,1.5e-7,4.6e-7
Female,api,2022,55,1.4e-7,7e-8,2.6e-7
Female,api,2022,60,1.1e-7,5e-8,2.1e-7
Female,api,2022,65,7e-8,2e-8,1.6e-7
Female,api,2022,70,4e-8,1e-8,1e-7
Female,api,2022,75,9e-8,3e-8,2e-7
Female,api,2022,80,1e-7,3e-8,2.3e-7
Female,api,2023,0,3e-8,0,1.3e-7
Female,api,2023,1,2e-8,0,7e-8
Female,api,2023,5,4e-8,1e-8,1e-7
Female,api,2023,10,3e-8,1e-8,9e-8
Female,api,2023,15,7e-8,2e-8,1.5e-7
Female,api,2023,20,1.8e-7,9e-8,3.3e-7
Female,api,2023,25,2.7e-7,1.5e-7,4.9e-7
Female,api,2023,30,3e-7,1.7e-7,4.9e-7
Female,api,2023,35,2.5e-7,1.4e-7,4.2e-7
Female,api,2023,40,3e-7,1.7e-7,5e-7
Female,api,2023,45,2.3e-7,1.2e-7,3.9e-7
Female,api,2023,50,2.9e-7,1.6e-7,5e-7
Female,api,2023,55,1.6e-7,8e-8,2.8e-7
Female,api,2023,60,1.2e-7,5e-8,2.3e-7
Female,api,2023,65,8e-8,3e-8,1.7e-7
Female,api,2023,70,4e-8,1e-8,1.1e-7
Female,api,2023,75,1e-7,3e-8,2.1e-7
Female,api,2023,80,1.1e-7,3e-8,2.4e-7
Female,black,2013,0,1e-8,0,6e-8
Female,black,2013,1,3e-8,1e-8,7e-8
Female,black,2013,5,4e-8,1e-8,8e-8
Female,black,2013,10,5e-8,2e-8,1e-7
Female,black,2013,15,2.5e-7,1.4e-7,4e-7
Female,black,2013,20,8.8e-7,6.3e-7,1.21e-6
Female,black,2013,25,1.15e-6,8.5e-7,1.51e-6
Female,black,2013,30,1.35e-6,1e-6,1.77e-6
Female,black,2013,35,1.12e-6,8.3e-7,1.47e-6
Female,black,2013,40,1.06e-6,7.7e-7,1.41e-6
Female,black,2013,45,6.8e-7,4.7e-7,9.3e-7
Female,black,2013,50,6.4e-7,4.4e-7,8.8e-7
Female,black,2013,55,3.8e-7,2.4e-7,5.5e-7
Female,black,2013,60,3.1e-7,2e-7,4.7e-7
Female,black,2013,65,2e-7,1.1e-7,3.3e-7
Female,black,2013,70,1.5e-7,7e-8,2.6e-7
Female,black,2013,75,2.2e-7,1.2e-7,3.8e-7
Female,black,2013,80,2.8e-7,1.5e-7,4.8e-7
Female,black,2014,0,1e-8,0,5e-8
Female,black,2014,1,3e-8,0,7e-8
Female,black,2014,5,4e-8,1e-8,8e-8
Female,black,2014,10,5e-8,2e-8,1e-7
Female,black,2014,15,2.4e-7,1.4e-7,3.8e-7
Female,black,2014,20,8.5e-7,6e-7,1.15e-6
Female,black,2014,25,1.1e-6,8.2e-7,1.45e-6
Female,black,2014,30,1.29e-6,9.6e-7,1.69e-6
Female,black,2014,35,1.07e-6,7.9e-7,1.4e-6
Female,black,2014,40,1.01e-6,7.4e-7,1.35e-6
Female,black,2014,45,6.5e-7,4.5e-7,8.9e-7
Female,black,2014,50,6.1e-7,4.2e-7,8.4e-7
Female,black,2014,55,3.6e-7,2.3e-7,5.2e-7
Female,black,2014,60,3e-7,1.9e-7,4.5e-7
Female,black,2014,65,1.9e-7,1.1e-7,3.1e-7
Female,black,2014,70,1.4e-7,7e-8,2.5e-7
Female,black,2014,75,2.1e-7,1.1e-7,3.6e-7
Female,black,2014,80,2.7e-7,1.4e-7,4.5e-7
